University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
UIN Mahmud Yunus Batusangkar,Pemikiran Politik Islam,S1,PTAN,7025/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2026-11-23,Masih berlaku
UIN Mahmud Yunus Batusangkar,Pariwisata Syariah,S1,PTAN,7027/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2026-04-13,Masih berlaku
UIN Mahmud Yunus Batusangkar,Manajemen Zakat Dan Wakaf,S1,PTAN,7029/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-24,Masih berlaku
UIN Mahmud Yunus Batusangkar,Manajemen Bisnis Syariah,S1,PTAN,7024/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2026-11-03,Masih berlaku
UIN Mahmud Yunus Batusangkar,Komunikasi Dan Penyiaran Islam,S1,PTAN,7012/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-30,Masih berlaku
UIN Mahmud Yunus Batusangkar,Ilmu Perpustakaan Dan Informasi Islam,S1,PTAN,7017/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-02-09,Masih berlaku
UIN Mahmud Yunus Batusangkar,Tadris Biologi,S1,PTAN,7023/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-04-23,26 hari lagi kadaluarsa
UIN Mahmud Yunus Batusangkar,Manajemen Pendidikan Islam,S2,PTAN,7016/SK/BAN-PT/Ak-PNB/M/X/2022,2022,B,2025-08-16,Masih berlaku
UIN Mahmud Yunus Batusangkar,Hukum Keluarga (Ahwal Al-Syakhshiyyah),S2,PTAN,7014/SK/BAN-PT/Ak-PNB/M/X/2022,2022,B,2026-01-05,Masih berlaku
UIN Mahmud Yunus Batusangkar,Hukum Ekonomi Syariah,S2,PTAN,7018/SK/BAN-PT/Ak-PNB/M/X/2022,2022,B,2025-12-30,Masih berlaku
UIN Mahmud Yunus Batusangkar,Tadris Matematika,S1,PTAN,7030/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-07-30,Masih berlaku
UIN Mahmud Yunus Batusangkar,Tadris Kimia,S1,PTAN,7031/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-07-02,96 hari lagi kadaluarsa
UIN Mahmud Yunus Batusangkar,Ekonomi Syariah,S1,PTAN,7013/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-04-23,26 hari lagi kadaluarsa
UIN Salatiga,Pendidikan Agama Islam,S1,PTAN,6797/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2025-11-01,Masih berlaku
UIN Salatiga,Manajemen Bisnis Syariah,S1,PTAN,6818/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-11-10,Masih berlaku
UIN Salatiga,Ilmu Hadis,S1,PTAN,6813/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-17,Masih berlaku
UIN Salatiga,Hukum Tatanegara (Siyasah Syar'iyyah),S1,PTAN,6809/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-31,Masih berlaku
UIN Salatiga,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,6801/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-02-05,Masih berlaku
