University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
IAIN Bengkulu,Komunikasi Dan Penyiaran Islam,S1,PTAN,667/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-02,Masih berlaku
UIN Alauddin,Hukum Ekonomi Syariah (Muamalah),S1,PTAN,642/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-02,Masih berlaku
UIN Walisongo Semarang,Tasawuf Dan Psikoterapi,S1,PTAN,622/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-02,Masih berlaku
IAIN Pekalongan,Tasawuf Dan Psikoterapi,S1,PTAN,619/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-02,Masih berlaku
UIN Alauddin,Ekonomi Islam,S1,PTAN,621/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-02,Masih berlaku
UIN Raden Fatah Palembang,Pendidikan Bahasa Arab,S1,PTAN,672/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-03,Masih berlaku
IAIN Tulungagung,Hukum Ekonomi Syariah (Muamalah),S1,PTAN,629/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-02,Masih berlaku
IAIN Kudus,Manajemen Pendidikan Islam,S2,PTAN,677/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,B,2025-12-30,Masih berlaku
UIN Sunan Gunung Djati Bandung,Hukum Ekonomi Syari`ah (Mu`amalah),S2,PTAN,651/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,B,2026-01-30,Masih berlaku
IAIN Tulungagung,Hukum Ekonomi Syariah (Muamalah),S2,PTAN,714/SK/BAN-PT/Akred/M/II/2021,2021,B,2026-02-09,Masih berlaku
IAIN Batusangkar,Ilmu Perpustakaan Dan Informasi Islam,S1,PTAN,718/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-09,Masih berlaku
UIN Alauddin,Bimbingan Dan Penyuluhan Islam,S1,PTAN,713/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-09,Masih berlaku
UIN Alauddin,Pengembangan Masyarakat Islam,S1,PTAN,707/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-09,Masih berlaku
UIN Mataram,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,747/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-09,Masih berlaku
IAIN Salatiga,Hukum Keluarga Islam (Ahwal Syakhsiyah),S1,PTAN,715/SK/BAN-PT/Ak-PPJ/S/II/2021,2021,B,2026-02-05,Masih berlaku
UIN Imam Bonjol Padang,Perbandingan Mazhab,S1,PTAN,716/SK/BAN-PT/Ak-PPJ/S/II/2021,2021,B,2026-02-05,Masih berlaku
UIN Sunan Kalijaga,Ekonomi Syari'ah,S1,PTAN,789/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-10,Masih berlaku
IAIN Palu,Hukum Ekonomi Syariah (Muamalah),S1,PTAN,790/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-10,Masih berlaku
UIN Sunan Gunung Djati,Pendidikan Bahasa Arab,S2,PTAN,814/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,B,2026-02-10,Masih berlaku
UIN Sunan Kalijaga,Pendidikan Agama Islam,S2,PTAN,804/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,A,2026-02-10,Masih berlaku
IAIN Kudus,Tadris Matematika,S1,PTAN,785/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-10,Masih berlaku
UIN Syarif Hidayatullah,Studi Agama-Agama,S2,PTAN,838/SK/BAN-PT/Akred/M/II/2021,2021,A,2026-02-16,Masih berlaku
IAIN Kendari,Hukum Tatanegara (Siyasah),S1,PTAN,848/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-16,Masih berlaku
STAIN Tengku Dirundeng Meulaboh,Pendidikan Bahasa Arab,S1,PTAN,849/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-16,Masih berlaku
IAIN Kerinci,Perbankan Syariah,S1,PTAN,851/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-16,Masih berlaku
IAIN Ternate,Tadris Biologi,S1,PTAN,872/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-16,Masih berlaku
UIN Mataram,Pariwisata Syariah,S1,PTAN,875/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-16,Masih berlaku
IAIN Metro,Tadris Biologi,S1,PTAN,871/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-16,Masih berlaku
UIN Walisongo Semarang,Teknologi Informasi,S1,PTAN,882/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-16,Masih berlaku
UIN Raden Fatah,Pendidikan Agama Islam,S3,PTAN,894/SK/BAN-PT/Ak-PPJ/D/II/2021,2021,B,2026-01-12,Masih berlaku
IAIN Takengon,Hukum Tatanegara (Siyasah),S1,PTAN,1813/SK/BAN-PT/Ak-PNB/S/IV/2021,2021,B,2026-01-05,Masih berlaku
IAIN Syaikh Abdurrahman Siddik Bangka Belitung,Komunikasi Dan Penyiaran Islam,S1,PTAN,1330/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-09,Masih berlaku
UIN Mataram,Hukum Ekonomi Syariah (Muamalah),S1,PTAN,1309/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-09,Masih berlaku
IAIN Purwokerto,Manajemen Pendidikan Islam,S2,PTAN,1386/SK/BAN-PT/Akred/M/III/2021,2021,A,2026-02-03,Masih berlaku
IAIN Manado,Pendidikan Agama Islam,S1,PTAN,1306/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-09,Masih berlaku
IAIN Padangsidimpuan,Hukum Tata Negara (Siyasah),S1,PTAN,1314/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-09,Masih berlaku
IAIN Salatiga,Sejarah Peradaban Islam,S1,PTAN,1377/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-09,Masih berlaku
UIN Sunan Kalijaga,Informatika,S2,PTAN,1339/SK/BAN-PT/Akred/M/III/2021,2021,Baik Sekali,2026-03-09,Masih berlaku
IAIN Pekalongan,Bimbingan Penyuluhan Islam,S1,PTAN,1395/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-10,Masih berlaku
UIN Sunan Kalijaga,Pendidikan Bahasa Arab,S2,PTAN,1408/SK/BAN-PT/Akred/M/III/2021,2021,B,2026-03-10,Masih berlaku
UIN Sultan Maulana Hasanuddin Banten,Pendidikan Guru Madrasah Ibtdaiyah,S1,PTAN,1412/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-10,Masih berlaku
IAIN Bengkulu,Manajemen Zakat Dan Wakaf,S1,PTAN,1411/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-10,Masih berlaku
IAIN Tulungagung,Tadris Kimia,S1,PTAN,1405/SK/BAN-PT/Akred/S/III/2021,2021,Baik,2026-03-10,Masih berlaku
IAIN Madura,Tadris IPS,S1,PTAN,8482/SK/BAN-PT/AK-ISK/S/XII/2020,2020,Baik Sekali,2025-11-24,Masih berlaku
UIN Mataram,Pendidikan Agama Islam,S3,PTAN,8481/SK/BAN-PT/AK-ISK/D/XII/2020,2020,Baik Sekali,2025-12-15,Masih berlaku
UIN Ar-Raniry Banda Aceh,Komunikasi Dan Penyiaran Islam,S2,PTAN,8483/SK/BAN-PT/AK-ISK/M/XII/2020,2020,Baik Sekali,2025-11-25,Masih berlaku
IAIN Bengkulu,Ilmu Hadis,S1,PTAN,1473/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-16,Masih berlaku
STAIN Gajah Putih Takengon Aceh Tengah,Pendidikan Islam Anak Usia Dini,S1,PTAN,1468/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-16,Masih berlaku
UIN Maulana Malik Ibrahim,Pendidikan Islam Anak Usia Dini,S1,PTAN,1507/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-16,Masih berlaku
IAIN Surakarta,Pendidikan Islam Anak Usia Dini,S1,PTAN,1446/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-16,Masih berlaku
IAIN Ambon,Pendidikan Agama Islam,S1,PTAN,1510/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-16,Masih berlaku
IAIN Manado,Pendidikan Islam Anak Usia Dini,S1,PTAN,1460/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-16,Masih berlaku
IAIN Syaikh Abdurrahman Siddik Bangka Belitung,Pendidikan Agama Islam,S2,PTAN,1470/SK/BAN-PT/Akred/M/III/2021,2021,B,2026-03-16,Masih berlaku
IAIN Jember,Pendidikan Agama Islam,S2,PTAN,1464/SK/BAN-PT/Akred/M/III/2021,2021,B,2026-03-16,Masih berlaku
UIN Maulana Malik Ibrahim,Pendidikan Matematika,S2,PTAN,1484/SK/BAN-PT/Akred/M/III/2021,2021,Baik,2026-03-16,Masih berlaku
UIN Ar-Raniry Banda Aceh,Teknologi Informasi,S1,PTAN,1496/SK/BAN-PT/Akred/S/III/2021,2021,Baik,2026-03-16,Masih berlaku
IAIN Bengkulu,Pendidikan Agama Islam,S2,PTAN,1516/SK/BAN-PT/Ak-PPJ/M/III/2021,2021,A,2026-02-19,Masih berlaku
IAIN Salatiga,Ilmu Hadis,S1,PTAN,1530/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-17,Masih berlaku
UIN Syarif Hidayatullah,Perbankan Syariah,S3,PTAN,1531/SK/BAN-PT/Akred/D/III/2021,2021,B,2026-03-17,Masih berlaku
UIN Syarif Hidayatullah,Perbankan Syariah,S1,PTAN,1582/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-23,Masih berlaku
IAIN Padangsidimpuan,Pendidikan Agama Islam,S1,PTAN,1580/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-23,Masih berlaku
IAIN Kendari,Pendidikan Islam Anak Usia Dini,S1,PTAN,1589/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-23,Masih berlaku
IAIN Manado,Ekonomi Syariah,S2,PTAN,1600/SK/BAN-PT/Akred/M/III/2021,2021,B,2026-03-23,Masih berlaku
UIN Sumatera Utara Medan,Ekonomi Syariah,S2,PTAN,1634/SK/BAN-PT/Akred/M/III/2021,2021,B,2026-03-23,Masih berlaku
IAIN Syekh Nurjati Cirebon,Ilmu Al-Qur'an Dan Tafsir,S1,PTAN,1667/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-24,Masih berlaku
UIN Antasari Banjarmasin,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,1666/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-24,Masih berlaku
IAIN Batusangkar,Manajemen Zakat Dan Wakaf,S1,PTAN,1665/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-24,Masih berlaku
IAIN Salatiga,Ekonomi Syariah,S2,PTAN,1698/SK/BAN-PT/Akred/M/III/2021,2021,B,2026-03-30,Masih berlaku
UIN Mataram,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S2,PTAN,1692/SK/BAN-PT/Akred/M/III/2021,2021,A,2026-03-30,Masih berlaku
IAIN Batusangkar,Komunikasi Dan Penyiaran Islam,S1,PTAN,1738/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-30,Masih berlaku
IAIN Padangsidimpuan,Ekonomi Syariah,S1,PTAN,1696/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-30,Masih berlaku
IAIN Palopo,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,1739/SK/BAN-PT/Akred/S/III/2021,2021,A,2026-03-30,Masih berlaku
IAIN Padangsidimpuan,Ahwal Al Syakhshiyyah,S1,PTAN,1740/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-30,Masih berlaku
IAIN Syaikh Abdurrahman Siddik Bangka Belitung,Pendidikan Bahasa Arab,S1,PTAN,1708/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-30,Masih berlaku
UIN Walisongo Semarang,Ilmu Seni Dan Arsitektur Islam,S1,PTAN,1722/SK/BAN-PT/Akred/S/III/2021,2021,Baik,2026-03-30,Masih berlaku
IAIN Salatiga,Hukum Tatanegara (Siyasah Syar'iyyah),S1,PTAN,1781/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-31,Masih berlaku
IAIN Pontianak,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,1773/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-31,Masih berlaku
IAIN Takengon,Komunikasi Dan Penyiaran Islam,S1,PTAN,1817/SK/BAN-PT/Ak-PNB/S/IV/2021,2021,B,2026-01-12,Masih berlaku
UIN Mataram,Pendidikan Bahasa Arab,S1,PTAN,1903/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-07,Masih berlaku
UIN Raden Fatah Palembang,Ekonomi Syariah,S1,PTAN,1891/SK/BAN-PT/Akred/S/IV/2021,2021,A,2026-04-07,Masih berlaku
UIN Antasari Banjarmasin,Studi Agama Agama,S1,PTAN,1900/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-07,Masih berlaku
IAIN Kendari,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),S1,PTAN,1992/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-13,Masih berlaku
UIN Mataram,Ekonomi Syariah,S2,PTAN,1962/SK/BAN-PT/AK-ISK/M/IV/2021,2021,Baik Sekali,2025-12-22,Masih berlaku
IAIN Kudus,Tadris Biologi,S1,PTAN,2029/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-13,Masih berlaku
UIN Sunan Ampel,Sastra Indonesia,S1,PTAN,2022/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-13,Masih berlaku
IAIN Batusangkar,Pariwisata Syariah,S1,PTAN,2010/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-13,Masih berlaku
UIN Alauddin,Pendidikan Bahasa Arab,S2,PTAN,2132/SK/BAN-PT/Akred/M/IV/2021,2021,B,2026-04-14,Masih berlaku
IAIN Pontianak,Pendidikan Agama Islam,S2,PTAN,2081/SK/BAN-PT/Akred/M/IV/2021,2021,B,2026-04-14,Masih berlaku
IAIN Padangsidimpuan,Ilmu Al Quran Dan Tafsir,S1,PTAN,2125/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-14,Masih berlaku
IAIN Metro,Ekonomi Syariah,S1,PTAN,2080/SK/BAN-PT/Akred/S/IV/2021,2021,A,2026-04-14,Masih berlaku
UIN Sunan Gunung Djati,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,2079/SK/BAN-PT/Akred/S/IV/2021,2021,A,2026-04-14,Masih berlaku
UIN Sunan Gunung Djati,Ekonomi Islam,S2,PTAN,2120/SK/BAN-PT/Akred/M/IV/2021,2021,B,2026-04-14,Masih berlaku
UIN Antasari Banjarmasin,Pendidikan Agama Islam,S1,PTAN,2122/SK/BAN-PT/Akred/S/IV/2021,2021,Baik Sekali,2026-04-14,Masih berlaku
UIN Sayyid Ali Rahmatullah Tulungagung,Tadris Bahasa Indonesia,S1,PTAN,13003/SK/BAN-PT/Ak-PNB/S/XII/2021,2021,B,2024-04-16,19 hari lagi kadaluarsa
IAIN Tulungagung,Pendidikan Bahasa Arab,S2,PTAN,2369/SK/BAN-PT/Akred/M/IV/2021,2021,B,2026-04-21,Masih berlaku
IAIN Ambon,Manajemen Keuangan Syariah,S1,PTAN,2341/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-21,Masih berlaku
IAIN Pontianak,Pendidikan Islam Anak Usia Dini,S1,PTAN,2406/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-27,Masih berlaku
IAIN Palopo,Hukum Tatanegera (Siyasah),S1,PTAN,2401/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-27,Masih berlaku
IAIN Bukittinggi,Hukum Pidana Islam (Jinayah),S1,PTAN,2474/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-27,Masih berlaku
IAIN Ternate,Sejarah Peradaban Islam,S1,PTAN,2426/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-27,Masih berlaku
IAIN Ambon,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,2452/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-27,Masih berlaku
IAIN Bengkulu,Hukum Tatanegara (Siyasah),S2,PTAN,2411/SK/BAN-PT/Akred/M/IV/2021,2021,Baik Sekali,2026-04-27,Masih berlaku
IAIN Bone,Manajemen Pendidikan Islam,S1,PTAN,2497/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2025-07-11,Masih berlaku
IAIN Tulungagung,Ilmu Perpustakaan Dan Informasi Islam,S1,PTAN,2433/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-27,Masih berlaku
IAIN Manado,Sosiologi Agama,S1,PTAN,2582/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-28,Masih berlaku
UIN Walisongo Semarang,Manajemen Haji Dan Umrah,S1,PTAN,2583/SK/BAN-PT/Akred/S/IV/2021,2021,B,2026-04-28,Masih berlaku
IAIN Kendari,Bimbingan Dan Penyuluhan Islam,S1,PTAN,2558/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-29,Masih berlaku
IAIN Kendari,Komunikasi Penyiaran Islam,S1,PTAN,2555/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-29,Masih berlaku
IAIN Bengkulu,Filsafat Agama,S2,PTAN,2543/SK/BAN-PT/Ak-PPJ/M/IV/2021,2021,B,2026-05-07,Masih berlaku
UIN Imam Bonjol Padang,Hukum Keluarga (Akhwal Al-Syakhsiyyah),S1,PTAN,2520/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,A,2026-05-07,Masih berlaku
IAIN Syaikh Abdurrahman Siddik Bangka Belitung,Pendidikan Islam Anak Usia Dini,S1,PTAN,2638/SK/BAN-PT/Akred/S/V/2021,2021,B,2026-05-04,Masih berlaku
IAIN Sultan Amai Gorontalo,Manajemen Pendidikan Islam,S2,PTAN,2639/SK/BAN-PT/Akred/M/V/2021,2021,Baik Sekali,2026-05-04,Masih berlaku
UIN Antasari Banjarmasin,Ilmu Perpustakaan Dan Informasi Islam,S1,PTAN,2654/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-04,Masih berlaku
UIN Antasari Banjarmasin,Asuransi Syariah,S1,PTAN,2656/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-04,Masih berlaku
IAIN Palu,Tadris IPS,S1,PTAN,2669/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-04,Masih berlaku
UIN Antasari Banjarmasin,Perbankan Syariah,S1,PTAN,2923/SK/BAN-PT/Akred/S/V/2021,2021,Baik Sekali,2026-05-11,Masih berlaku
IAIN Ternate,Hukum Ekonomi Syariah,S2,PTAN,3011/SK/BAN-PT/Akred/M/V/2021,2021,Baik,2026-05-18,Masih berlaku
IAIN Samarinda,Manajemen Pendidikan Islam (Kependidikan Islam),S1,PTAN,2920/SK/BAN-PT/Akred/S/V/2021,2021,Baik Sekali,2026-05-11,Masih berlaku
IAIN Ambon,Manajemen Pendidikan Islam,S1,PTAN,2734/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-05,Masih berlaku
UIN Sunan Gunung Djati,Studi Agama-Agama,S2,PTAN,2831/SK/BAN-PT/Akred/M/V/2021,2021,Baik Sekali,2026-05-11,Masih berlaku
UIN Sunan Kalijaga,Sastra Inggris,S1,PTAN,2990/SK/BAN-PT/Akred/S/V/2021,2021,Unggul,2026-05-18,Masih berlaku
IAIN Tulungagung,Sejarah Peradaban Islam,S1,PTAN,3028/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-18,Masih berlaku
UIN Ar-Raniry Banda Aceh,Kesejahteraan Sosial,S1,PTAN,2881/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-11,Masih berlaku
IAIN ParePare,Pariwisata Syariah,S1,PTAN,2930/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-04-14,Masih berlaku
UIN Sultan Syarif Kasim Riau,Pendidikan Bahasa Indonesia,S1,PTAN,2901/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-11,Masih berlaku
STAIN Bengkalis,Manajemen Dakwah,S1,PTAN,2983/SK/BAN-PT/AK-ISK/S/V/2021,2021,Baik,2026-03-16,Masih berlaku
UIN Ar-Raniry Banda Aceh,Pendidikan Agama Islam,S3,PTAN,2813/SK/BAN-PT/Ak-PPJ/D/V/2021,2021,A,2026-04-16,Masih berlaku
UIN Sumatera Utara Medan,Pemikiran Politik Islam,S2,PTAN,3326/SK/BAN-PT/Akred/M/V/2021,2021,Baik Sekali,2026-05-25,Masih berlaku
UIN Mataram,Pengembangan Masyarakat Islam,S1,PTAN,3198/SK/BAN-PT/Akred/S/V/2021,2021,Baik Sekali,2026-05-25,Masih berlaku
UIN Sultan Syarif Kasim,Ekonomi Syariah,S1,PTAN,3335/SK/BAN-PT/Ak-PPJ/S/V/2021,2021,B,2026-05-25,Masih berlaku
UIN Mataram,Ekonomi Syariah,S1,PTAN,3336/SK/BAN-PT/Ak-PPJ/S/V/2021,2021,B,2026-05-25,Masih berlaku
IAIN ParePare,Tadris IPS,S1,PTAN,3292/SK/BAN-PT/Akred/S/V/2021,2021,Baik,2026-05-25,Masih berlaku
IAIN Kendari,Hukum Keluarga (Akhwal Syaksiyah),S1,PTAN,3213/SK/BAN-PT/Ak-PPJ/S/V/2021,2021,B,2026-05-21,Masih berlaku
UIN Maulana Malik Ibrahim Malang,Ekonomi Syari`ah,S2,PTAN,3203/SK/BAN-PT/Ak-PPJ/M/V/2021,2021,B,2026-05-21,Masih berlaku
IAIN Metro,Pendidikan Bahasa Arab,S1,PTAN,3224/SK/BAN-PT/Ak-PPJ/S/V/2021,2021,B,2026-05-21,Masih berlaku
UIN Imam Bonjol Padang,Pendidikan Bahasa Arab,S1,PTAN,3178/SK/BAN-PT/Ak-PPJ/S/V/2021,2021,A,2026-05-21,Masih berlaku
IAIN Ternate,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAN,6039/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-02,Masih berlaku
IAIN Lhokseumawe,Hukum Keluarga Islam (Ahwal Al-Syakhshiyyah),S1,PTAN,6006/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-02,Masih berlaku
IAIN Bengkulu,Pendidikan Agama Islam,S3,PTAN,6052/SK/BAN-PT/Akred/D/VI/2021,2021,Baik Sekali,2026-06-02,Masih berlaku
UIN Alauddin Makassar,Pendidikan Bahasa Inggris,S1,PTAN,5957/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-03,Masih berlaku
IAIN Syekh Nurjati Cirebon,Manajemen Pendidikan Islam,S2,PTAN,5972/SK/BAN-PT/Ak-PPJ/M/VI/2021,2021,B,2026-06-03,Masih berlaku
UIN Raden Fatah Palembang,Sejarah Peradaban Islam,S1,PTAN,6088/SK/BAN-PT/Akred/S/VI/2021,2021,Unggul,2026-06-08,Masih berlaku
STAIN Mandailing Natal,Pendidikan Agama Islam,S1,PTAN,8726/SK/BAN-PT/Akred/S/VI/2021,2021,Baik Sekali,2026-06-15,Masih berlaku
UIN Raden Fatah Palembang,Pendidikan Agama Islam,S2,PTAN,8669/SK/BAN-PT/Akred/M/VI/2021,2021,Unggul,2026-06-15,Masih berlaku
IAIN Purwokerto,Pengembangan Masyarakat Islam,S1,PTAN,8688/SK/BAN-PT/Akred/S/VI/2021,2021,Baik Sekali,2026-06-15,Masih berlaku
IAIN Palopo,Bimbingan Dan Konseling Islam,S1,PTAN,8687/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-14,Masih berlaku
UIN Sulthan Thaha Saifuddin Jambi,Sastra Inggris,S1,PTAN,8694/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-21,Masih berlaku
IAIN Takengon,Pendidikan Islam Anak Usia Dini,S1,PTAN,8645/SK/BAN-PT/Ak-PNB/S/VI/2021,2021,B,2026-03-16,Masih berlaku
IAIN Kudus,Perbankan Syariah,S1,PTAN,8779/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-16,Masih berlaku
UIN Antasari Banjarmasin,Perbandingan Mazhab,S1,PTAN,8898/SK/BAN-PT/Akred/S/VI/2021,2021,Baik Sekali,2026-06-22,Masih berlaku
IAIN Ternate,Manajemen Pendidikan Islam,S1,PTAN,8941/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-22,Masih berlaku
IAIN Kudus,Tadris IPA,S1,PTAN,8948/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-22,Masih berlaku
IAIN Sultan Amai Gorontalo,Akuntansi Syariah,S1,PTAN,8968/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-22,Masih berlaku
IAIN Bone,Ekonomi Syariah,S2,PTAN,8974/SK/BAN-PT/Akred/M/VI/2021,2021,Baik,2026-06-22,Masih berlaku
UIN Sunan Gunung Djati,Sejarah Peradaban Islam,S2,PTAN,8891/SK/BAN-PT/Akred/M/VI/2021,2021,Baik Sekali,2026-06-22,Masih berlaku
STAIN Bengkalis,Pendidikan Islam Anak Usia Dini,S1,PTAN,9000/SK/BAN-PT/AK-ISK/S/VI/2021,2021,Baik,2026-03-02,Masih berlaku
UIN Alauddin Makassar,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,8864/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-18,Masih berlaku
IAIN Langsa,Tadris Bahasa Inggris,S1,PTAN,8931/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-18,Masih berlaku
UIN Sulthan Thaha Saifuddin Jambi,Pendidikan Bahasa Arab,S1,PTAN,8849/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,A,2026-06-18,Masih berlaku
IAIN Syekh Nurjati Cirebon,Pendidikan Agama Islam,S2,PTAN,8878/SK/BAN-PT/Ak-PPJ/M/VI/2021,2021,Baik Sekali,2026-06-18,Masih berlaku
IAIN Syekh Nurjati Cirebon,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,8902/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-18,Masih berlaku
UIN Sunan Gunung Djati,Hukum Keluarga (Akhwal Syahsiyyah),S1,PTAN,8850/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,A,2026-06-18,Masih berlaku
IAIN Fattahul Muluk Papua,Hukum Keluarga Islam (Akhwal Syaksiyah),S1,PTAN,8874/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,B,2026-06-18,Masih berlaku
IAIN Sultan Amai Gorontalo,Ekonomi Syariah,S2,PTAN,8798/SK/BAN-PT/Ak-PKP/M/VI/2021,2021,Baik,2026-06-22,Masih berlaku
IAIN Ambon,Jurnalistik Islam,S1,PTAN,9101/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-29,Masih berlaku
UIN Mataram,Tadris IPS,S1,PTAN,9064/SK/BAN-PT/Akred/S/VI/2021,2021,Baik Sekali,2026-06-29,Masih berlaku
IAIN Kudus,Akuntansi Syari'ah,S1,PTAN,9083/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-29,Masih berlaku
IAIN Metro,Bimbingan Penyuluhan Islam,S1,PTAN,9086/SK/BAN-PT/Akred/S/VI/2021,2021,Baik,2026-06-29,Masih berlaku
