Politeknik Maritim AMI Makassar,Ketatalaksanaan Pelayaran Niaga Dan Kepel,D-III,09,2493/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Institut Agama Islam Ibrahimy Genteng Banyuwangi,Hukum Keluarga Islam (Ahwal Syakhshiyah),S1,PTAS,2405/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Negeri Padang,Teknik Pertambangan,D-III,PTN,2422/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Akademi Pariwisata BSI Bandung,Perhotelan,D-III,04,2423/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas 17 Agustus 1945 Surabaya,Manajemen,S2,07,2480/SK/BAN-PT/Akred/M/VII/2019,2019,A,2024-07-16,110 hari lagi kadaluarsa
Universitas Islam Negeri Alauddin,Perbankan Syariah,S1,PTAN,2434/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Sekolah Tinggi Ilmu Ekonomi Surakarta,Manajemen,S1,06,2406/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Lampung,Perpustakaan,D-III,PTN,2385/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,A,2024-07-16,110 hari lagi kadaluarsa
Universitas Sam Ratulangi,Sosiologi,S1,PTN,2488/SK/BAN-PT/Akred/S/VII/2019,2019,A,2024-07-16,110 hari lagi kadaluarsa
Universitas Widya Gama,Ilmu Hukum,S2,07,2417/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Politeknik Penerbangan Surabaya,Komunikasi Penerbangan,D-III,PTKL,2429/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
